source,Si/Al,Na/Al,Ca/Si,OH/Al,Fine_aggregate_to_binder,Coarse_aggregate_to_binder,Solid_type,Activator_binder,NaOH_molarity,Water_in_sodium silicate,Humidity,Superplasticiser_dosage,Curing_temperature (C),Curing_age (d),CS (MPa)
,2.78211807,1.522515759,0.381812436,0.381812436,1.69,2.16,concrete,0.55,8,0.559,0.65,180,60,28,54.38
,2.872675996,1.660765078,0.369776222,0.369776222,1.69,2.16,concrete,0.6,8,0.559,0.65,180,60,28,53.79
,1.634283002,1.624765061,0.42175455,0.42175455,1.994750656,2.637795276,concrete,0.564304462,6,0.61,0.6,0,20,28,37.4
,1.844886272,1.39177009,0.373609096,0.373609096,1.994750656,2.637795276,concrete,0.564304462,6,0.61,0.6,0,20,28,26.6
,1.634283002,1.624765061,0.42175455,0.42175455,1.994750656,2.637795276,concrete,0.564304462,4,0.61,0.6,0,20,28,29.9
,1.844886272,1.39177009,0.373609096,0.373609096,1.994750656,2.637795276,concrete,0.564304462,4,0.61,0.6,0,20,28,30.7
,1.619222743,1.520578534,0.195869893,0.195869893,2.010582011,2.658730159,concrete,0.568783069,4,0.61,0.6,0,20,28,15.5
,1.62775613,1.577572128,0.314272284,0.314272284,2.005277045,2.65171504,concrete,0.567282322,4,0.61,0.6,0,20,28,23
,1.634283002,1.624765061,0.42175455,0.42175455,1.994750656,2.637795276,concrete,0.564304462,4,0.61,0.6,0,20,28,30.6
,1.66838351,1.781099843,0.53378966,0.53378966,2.105263158,2.783933518,concrete,0.595567867,4,0.61,0.6,0,20,28,39.01
,1.643034481,1.677811867,0.514347783,0.514347783,2,2.644736842,concrete,0.565789474,4,0.61,0.6,0,20,28,27.8
,1.651546357,1.729148976,0.60220884,0.60220884,2.005277045,2.65171504,concrete,0.567282322,4,0.61,0.6,0,20,28,28
,3.100228597,1.241697049,0.334300397,0.334300397,1.384810127,3.232911392,concrete,0.458227848,8,0.559,0.65,7.9,32,28,28.36
,3.100228597,1.241697049,0.334300397,0.334300397,1.384810127,3.232911392,concrete,0.458227848,4,0.559,0.65,7.9,32,28,34.84
,3.100228597,1.241697049,0.334300397,0.334300397,1.384810127,3.232911392,concrete,0.458227848,4,0.559,0.65,7.9,32,28,37.24
,3.100228597,1.241697049,0.334300397,0.334300397,1.384810127,3.232911392,concrete,0.458227848,4,0.559,0.65,7.9,32,28,33.2
,2.362823096,0.833786673,0.039923728,0.039923728,1.6275,3.0225,concrete,0.4,14,0.559,0.65,0,23,28,25.6
,2.418632742,0.882279615,0.135868059,0.135868059,1.6275,3.0225,concrete,0.4,14,0.559,0.65,0,23,28,38.3
,2.449044889,0.908704699,0.18630998,0.18630998,1.6275,3.0225,concrete,0.4,14,0.559,0.65,0,23,28,46.6
,2.285426243,0.729646823,0.04127576,0.04127576,1.63975,3.04525,concrete,0.35,14,0.559,0.65,6,23,28,32.5
,2.336734496,0.772083003,0.140629985,0.140629985,1.63975,3.04525,concrete,0.35,14,0.559,0.65,6,23,28,33.3
,1.956695519,0.274119613,0.566247645,0.566247645,1.79,2.685,concrete,0.1625,14,0.59,0.9,0,21,28,31.7
,2.083988024,0.363419313,0.531660555,0.531660555,1.78,2.67,concrete,0.215,14,0.59,0.9,0,21,28,49.3
,2.218352335,0.45582927,0.499458184,0.499458184,1.77,2.655,concrete,0.27,14,0.59,0.9,0,21,28,58.2
,1.999126354,0.403831448,0.554229215,0.554229215,1.78,2.67,concrete,0.2025,14,0.59,0.9,0,21,28,44.4
,2.218352335,0.45582927,0.499458184,0.499458184,1.77,2.655,concrete,0.27,14,0.59,0.9,0,21,28,58.2
,2.083988024,0.363419313,0.531660555,0.531660555,1.78,2.67,concrete,0.215,14,0.59,0.9,0,21,28,49.3
,2.384815537,0.452769539,0.849187119,0.849187119,1.78,2.67,concrete,0.215,14,0.59,0.9,0,21,28,52.1
,2.88179072,0.600378528,1.228528301,1.228528301,1.78,2.67,concrete,0.215,14,0.59,0.9,0,21,28,63.1
,2.218352335,0.45582927,0.499458184,0.499458184,1.79,2.685,concrete,0.27,14,0.59,0.9,0,21,28,65.7
,2.218352335,0.45582927,0.499458184,0.499458184,1.77,2.655,concrete,0.27,14,0.59,0.9,0,21,28,58.2
,2.218352335,0.45582927,0.499458184,0.499458184,1.75,2.625,concrete,0.27,14,0.59,0.9,0,21,28,42.3
,2.473947561,0.836450368,0.132830195,0.132830195,1.6275,3.0225,concrete,0.4,14,0.585,0.7,0,22,28,40
,2.540065612,0.888102301,0.232998569,0.232998569,1.6275,3.0225,concrete,0.4,14,0.585,0.7,0,22,28,47
,2.360284537,0.973116805,0.139226831,0.139226831,1.6275,3.0225,concrete,0.4,14,0.585,0.7,0,22,28,43
,2.419383743,1.181070073,0.244620827,0.531004315,1.6275,3.0225,concrete,0.16,14,0.585,0.7,0,22,28,54
,2.331160747,0.828846747,0.040465981,0.295395553,1.645,3.055,concrete,0.1,14,0.585,0.7,6,22,28,25
,2.385128914,0.877052383,0.137776593,0.312575726,1.6375,3.04,concrete,0.1,14,0.585,0.7,6,22,28,27
,2.445762294,0.931211545,0.241982491,0.331877697,1.6375,3.04,concrete,0.1,14,0.585,0.7,6,22,28,35
,2.237245349,0.919834307,0.042164667,0.413553774,1.645,3.055,concrete,0.14,14,0.585,0.7,6,22,28,27
,2.285751406,0.973331771,0.1437667,0.437606017,1.6375,3.04,concrete,0.14,14,0.585,0.7,6,22,28,27
,2.340248092,1.033436314,0.252892697,0.464628776,1.6375,3.04,concrete,0.14,14,0.585,0.7,6,22,28,45
,2.439820814,1.069954607,0.155145452,0.423571884,1.61,2.9925,concrete,0.1325,10,0.5393,0.6,4,22,28,21.9
,2.474176643,1.098045775,0.194839055,0.43469257,1.615,3,concrete,0.1325,10,0.5393,0.6,4,22,28,28
,2.510385104,1.127651756,0.235497217,0.446412937,1.62,3.0075,concrete,0.1325,10,0.5393,0.6,4,22,28,41.5
,2.548600205,1.158898474,0.277155531,0.458782837,1.625,3.0175,concrete,0.1325,10,0.5393,0.6,4,22,28,46
,2.58899351,1.191926207,0.319851359,0.471857802,1.63,3.025,concrete,0.1325,10,0.5393,0.6,4,22,28,56.5
,2.474176643,1.098045775,0.194839055,0.43469257,1.615,3,concrete,0.1325,12,0.5393,0.6,4,22,28,35
,2.510385104,1.127651756,0.235497217,0.446412937,1.62,3.0075,concrete,0.1325,12,0.5393,0.6,4,22,28,45
,2.548600205,1.158898474,0.277155531,0.458782837,1.645,3.055,concrete,0.1325,12,0.5393,0.6,4,22,28,57
,2.390031209,0.964737393,0.201698721,0.38548209,1.6275,3.0225,concrete,0.1175,10,0.5393,0.6,4,22,28,30
,2.423970905,0.990749056,0.243892658,0.395875624,1.6525,3.0675,concrete,0.1175,10,0.5393,0.6,4,22,28,40
,2.459791509,1.018202262,0.287161998,0.406845157,1.6775,3.115,concrete,0.1175,10,0.5393,0.6,4,22,28,48
,2.408062373,1.167518945,0.200188435,0.524911782,1.5925,2.96,concrete,0.16,10,0.5393,0.6,4,22,28,28.5
,2.593004554,1.112238186,0.272409334,0.398188877,1.6475,3.0575,concrete,0.115,10,0.5393,0.6,4,22,28,45
,3.824904846,2.148810986,0.914252195,0.795396569,2.025,2.475,concrete,0.14275,12,0.4901,0.6,8,25,28,89.6
,3.824904846,2.148810986,0.914252195,0.795396569,2.025,2.475,concrete,0.14275,12,0.4901,0.6,12,25,28,89.2
,3.824904846,2.148810986,0.914252195,0.795396569,2.025,2.475,concrete,0.14275,12,0.4901,0.6,16,25,28,88.7
,3.824904846,2.148810986,0.914252195,0.795396569,2.025,2.475,concrete,0.14275,12,0.4901,0.6,20,25,28,86.11
,3.824904846,2.148810986,0.914252195,0.795396569,2.025,2.475,concrete,0.14275,12,0.4901,0.6,24,25,28,84.1
"Fresh, Mechanical, and Durability Behavior of Fly Ash-Based Self Compacted Geopolymer Concrete: Effect of Slag Content and Various Curing Conditions",2.567965938,0.854701937,0.091457745,0.364785823,1.777777778,1.833333333,concrete,0.282422222,12,0.55,0.6,7,23,7,6.9
,2.788248116,1.01330642,0.369942338,0.432478038,1.777777778,1.833333333,concrete,0.282422222,12,0.55,0.6,7,23,7,26.4
